ID,Ticker,chinese_columns,資料轉換方式,signal_points,LongShort,Datestart,Date_End,0_points,1_points,accuracy,precision,recall,f1_score
101,UNRATE,失業率,M,signal_points_1,long,2000-01-04,2023-06-30,3562,280,0.6604779095753825,0.2106847253574116,0.23217247097844113,0.22090729783037474
103,UNRATE,失業率,M,signal_points_1,short,2000-01-04,2023-06-30,3513,194,0.6372700704830668,0.14597441685477802,0.16595380667236956,0.15532425940752603
105,UNRATE,失業率,Q,signal_points_1,long,2000-01-04,2023-06-30,3546,308,0.6625408286058105,0.22432629278951202,0.25538971807628524,0.23885226832105466
107,UNRATE,失業率,Q,signal_points_1,short,2000-01-04,2023-06-30,3410,135,0.6094206635722881,0.09832483612527312,0.11548331907613345,0.10621557828481511
109,UNRATE,失業率,W,signal_points_1,long,2000-01-04,2023-06-30,4360,60,0.7598418428743339,0.19292604501607716,0.04975124378109453,0.07910349373764008
111,UNRATE,失業率,W,signal_points_1,short,2000-01-04,2023-06-30,4396,59,0.7658586900464157,0.18971061093247588,0.0504704875962361,0.07972972972972973
113,FEDFUNDS,聯邦基金利率,D,signal_points_2,long,2000-01-04,2023-06-30,4571,11,0.7876912497851126,0.21568627450980393,0.00912106135986733,0.017501988862370723
115,FEDFUNDS,聯邦基金利率,D,signal_points_2,short,2000-01-04,2023-06-30,4607,10,0.7937080969571945,0.19607843137254902,0.00855431993156544,0.01639344262295082
117,FEDFUNDS,聯邦基金利率,M,signal_points_2,long,2000-01-04,2023-06-30,3587,254,0.6603059996561802,0.19874804381846636,0.21061359867330018,0.20450885668276972
119,FEDFUNDS,聯邦基金利率,M,signal_points_2,short,2000-01-04,2023-06-30,3615,245,0.6635722881210245,0.19170579029733958,0.20958083832335328,0.20024519820187986
11,FEDFUNDS,聯邦基金利率,Q,signal_points_1,short,2000-01-04,2023-06-30,2742,334,0.5287949114663916,0.14910714285714285,0.2857142857142857,0.19595189205045468
121,FEDFUNDS,聯邦基金利率,Q,signal_points_2,long,2000-01-04,2023-06-30,3036,212,0.5583634175691937,0.11863458310016788,0.175787728026534,0.14166388239224859
123,FEDFUNDS,聯邦基金利率,Q,signal_points_2,short,2000-01-04,2023-06-30,3190,329,0.6049510056730273,0.18410744264129827,0.281437125748503,0.22259810554803788
125,FEDFUNDS,聯邦基金利率,W,signal_points_2,long,2000-01-04,2023-06-30,4381,64,0.7641395908543923,0.21768707482993196,0.05306799336650083,0.08533333333333333
127,FEDFUNDS,聯邦基金利率,W,signal_points_2,short,2000-01-04,2023-06-30,4419,65,0.7708440777032834,0.22108843537414966,0.055603079555175364,0.08885850991114148
129,GDPC1,國內生產總值,D,signal_points_2,long,2000-01-04,2023-06-30,4603,3,0.7918170878459687,0.2727272727272727,0.0024875621890547263,0.0049301561216105174
131,GDPC1,國內生產總值,D,signal_points_2,short,2000-01-04,2023-06-30,4641,4,0.7985215746948598,0.36363636363636365,0.003421727972626176,0.006779661016949152
133,GDPC1,國內生產總值,M,signal_points_2,long,2000-01-04,2023-06-30,4450,92,0.780814853017019,0.36363636363636365,0.07628524046434494,0.12611377655928718
135,GDPC1,國內生產總值,M,signal_points_2,short,2000-01-04,2023-06-30,4442,47,0.7717036272992952,0.1857707509881423,0.04020530367835757,0.06610407876230662
137,GDPC1,國內生產總值,Q,signal_points_2,long,2000-01-04,2023-06-30,4123,286,0.7579508337631081,0.3695090439276486,0.23714759535655058,0.28888888888888886
139,GDPC1,國內生產總值,Q,signal_points_2,short,2000-01-04,2023-06-30,3965,91,0.6972666322846828,0.11757105943152454,0.07784431137724551,0.09366958311888832
13,FEDFUNDS,聯邦基金利率,W,signal_points_1,long,2000-01-04,2023-06-30,4191,86,0.7352587244283996,0.16996047430830039,0.07131011608623548,0.10046728971962617
141,GDPC1,國內生產總值,W,signal_points_2,long,2000-01-04,2023-06-30,4572,20,0.789410348977136,0.3389830508474576,0.01658374792703151,0.03162055335968379
143,GDPC1,國內生產總值,W,signal_points_2,short,2000-01-04,2023-06-30,4600,11,0.7926766374419804,0.1864406779661017,0.009409751924721984,0.017915309446254073
145,GS10,10年期國債收益率,D,signal_points_2,long,2000-01-04,2023-06-30,4539,21,0.7839092315626611,0.22580645161290322,0.017412935323383085,0.03233256351039261
147,GS10,10年期國債收益率,D,signal_points_2,short,2000-01-04,2023-06-30,4570,15,0.7882069795427196,0.16129032258064516,0.01283147989734816,0.02377179080824089
149,GS10,10年期國債收益率,M,signal_points_2,long,2000-01-04,2023-06-30,2839,453,0.5659274540140966,0.20359550561797754,0.3756218905472637,0.264062955406587
151,GS10,10年期國債收益率,M,signal_points_2,short,2000-01-04,2023-06-30,2766,343,0.5344679388000687,0.1541573033707865,0.2934131736526946,0.20212139068945198
153,GS10,10年期國債收益率,Q,signal_points_2,long,2000-01-04,2023-06-30,2589,402,0.5141825683341928,0.16584158415841585,0.3333333333333333,0.22148760330578512
155,GS10,10年期國債收益率,Q,signal_points_2,short,2000-01-04,2023-06-30,2544,320,0.49235000859549594,0.132013201320132,0.2737382378100941,0.17812413025327026
157,GS10,10年期國債收益率,W,signal_points_2,long,2000-01-04,2023-06-30,4200,114,0.741619391438886,0.21714285714285714,0.0945273631840796,0.1317157712305026
159,GS10,10年期國債收益率,W,signal_points_2,short,2000-01-04,2023-06-30,4202,79,0.7359463641052089,0.15047619047619049,0.06757912745936698,0.09327036599763873
15,FEDFUNDS,聯邦基金利率,W,signal_points_1,short,2000-01-04,2023-06-30,4199,57,0.7316486161251504,0.11264822134387352,0.04875962360992301,0.06805970149253732
161,M2SL,M2 貨幣供應量,D,signal_points_2,long,2000-01-04,2023-06-30,4592,5,0.7902698985731477,0.20833333333333334,0.0041459369817578775,0.008130081300813009
163,M2SL,M2 貨幣供應量,D,signal_points_2,short,2000-01-04,2023-06-30,4626,2,0.7955991060684201,0.08333333333333333,0.001710863986313088,0.003352891869237217
165,M2SL,M2 貨幣供應量,M,signal_points_2,long,2000-01-04,2023-06-30,4180,108,0.7371497335396252,0.20037105751391465,0.08955223880597014,0.12378223495702005
167,M2SL,M2 貨幣供應量,M,signal_points_2,short,2000-01-04,2023-06-30,4167,58,0.726319408629878,0.10760667903525047,0.04961505560307956,0.06791569086651054
169,M2SL,M2 貨幣供應量,Q,signal_points_2,long,2000-01-04,2023-06-30,4436,134,0.7856283307546845,0.4336569579288026,0.1111111111111111,0.1768976897689769
171,M2SL,M2 貨幣供應量,Q,signal_points_2,short,2000-01-04,2023-06-30,4339,0,0.7459171394189444,0.0,0.0,0.0
173,M2SL,M2 貨幣供應量,W,signal_points_2,long,2000-01-04,2023-06-30,4519,29,0.7818463125322331,0.2396694214876033,0.02404643449419569,0.04370761115297664
175,M2SL,M2 貨幣供應量,W,signal_points_2,short,2000-01-04,2023-06-30,4537,10,0.7816744026130308,0.08264462809917356,0.00855431993156544,0.015503875968992248
177,PAYEMS,非農就業人數,D,signal_points_2,long,2000-01-04,2023-06-30,4585,8,0.7895822588963384,0.23529411764705882,0.006633499170812604,0.012903225806451613
179,PAYEMS,非農就業人數,D,signal_points_2,short,2000-01-04,2023-06-30,4616,2,0.7938800068763968,0.058823529411764705,0.001710863986313088,0.0033250207813798837
17,GDPC1,國內生產總值,D,signal_points_1,long,2000-01-04,2023-06-30,4564,6,0.7856283307546845,0.11320754716981132,0.004975124378109453,0.009531374106433678
181,PAYEMS,非農就業人數,M,signal_points_2,long,2000-01-04,2023-06-30,4040,215,0.7314767062059481,0.27353689567430023,0.17827529021558872,0.21586345381526104
183,PAYEMS,非農就業人數,M,signal_points_2,short,2000-01-04,2023-06-30,3948,86,0.6934846140622314,0.10941475826972011,0.07356715141146279,0.08797953964194373
185,PAYEMS,非農就業人數,Q,signal_points_2,long,2000-01-04,2023-06-30,3989,134,0.7087845968712395,0.17724867724867724,0.1111111111111111,0.1365953109072375
187,PAYEMS,非農就業人數,Q,signal_points_2,short,2000-01-04,2023-06-30,3969,77,0.6955475330926595,0.10185185185185185,0.0658682634730539,0.08
189,PAYEMS,非農就業人數,W,signal_points_2,long,2000-01-04,2023-06-30,4478,45,0.7775485645521747,0.25280898876404495,0.03731343283582089,0.06502890173410404
191,PAYEMS,非農就業人數,W,signal_points_2,short,2000-01-04,2023-06-30,4489,19,0.7749699157641395,0.10674157303370786,0.016253207869974338,0.028210838901262063
193,PCE,個人消費支出,D,signal_points_2,long,2000-01-04,2023-06-30,4583,10,0.7895822588963384,0.2631578947368421,0.008291873963515755,0.01607717041800643
195,PCE,個人消費支出,D,signal_points_2,short,2000-01-04,2023-06-30,4616,6,0.7945676465532061,0.15789473684210525,0.0051325919589392645,0.009942004971002486
197,PCE,個人消費支出,M,signal_points_2,long,2000-01-04,2023-06-30,4172,185,0.7490115179645865,0.296474358974359,0.15339966832504145,0.20218579234972678
199,PCE,個人消費支出,M,signal_points_2,short,2000-01-04,2023-06-30,4098,74,0.717208182912154,0.11858974358974358,0.06330196749358426,0.08254322364751812
19,GDPC1,國內生產總值,D,signal_points_1,short,2000-01-04,2023-06-30,4605,10,0.7933642771187898,0.18867924528301888,0.00855431993156544,0.016366612111292964
1,FEDFUNDS,聯邦基金利率,D,signal_points_1,long,2000-01-04,2023-06-30,4536,18,0.7828777720474471,0.1935483870967742,0.014925373134328358,0.02771362586605081
201,PCE,個人消費支出,Q,signal_points_2,long,2000-01-04,2023-06-30,4257,148,0.7572631940862988,0.2948207171314741,0.12271973466003316,0.17330210772833723
203,PCE,個人消費支出,Q,signal_points_2,short,2000-01-04,2023-06-30,4253,107,0.7495272477221936,0.21314741035856574,0.09153122326775022,0.12806702573309395
205,PCE,個人消費支出,W,signal_points_2,long,2000-01-04,2023-06-30,4482,60,0.780814853017019,0.31746031746031744,0.04975124378109453,0.08602150537634409
207,PCE,個人消費支出,W,signal_points_2,short,2000-01-04,2023-06-30,4479,20,0.7734227264913186,0.10582010582010581,0.01710863986313088,0.029455081001472753
209,UNRATE,失業率,D,signal_points_2,long,2000-01-04,2023-06-30,4534,16,0.7821901323706378,0.17204301075268819,0.013266998341625208,0.024634334103156273
211,UNRATE,失業率,D,signal_points_2,short,2000-01-04,2023-06-30,4572,17,0.788894619219529,0.1827956989247312,0.01454234388366125,0.02694136291600634
213,UNRATE,失業率,M,signal_points_2,long,2000-01-04,2023-06-30,2810,279,0.531029740416022,0.13413461538461538,0.23134328358208955,0.16981132075471697
215,UNRATE,失業率,M,signal_points_2,short,2000-01-04,2023-06-30,2938,370,0.568678012721334,0.1778846153846154,0.3165098374679213,0.22776238842720836
217,UNRATE,失業率,Q,signal_points_2,long,2000-01-04,2023-06-30,2390,289,0.46054667354306345,0.1151394422310757,0.2396351575456053,0.15554359526372444
219,UNRATE,失業率,Q,signal_points_2,short,2000-01-04,2023-06-30,2588,450,0.5222623345367028,0.17928286852589642,0.3849443969204448,0.24463169339494428
21,GDPC1,國內生產總值,M,signal_points_1,long,2000-01-04,2023-06-30,3605,184,0.6513666838576586,0.1546218487394958,0.15257048092868988,0.15358931552587646
221,UNRATE,失業率,W,signal_points_2,long,2000-01-04,2023-06-30,4218,75,0.738009283135637,0.16025641025641027,0.06218905472636816,0.08960573476702509
223,UNRATE,失業率,W,signal_points_2,short,2000-01-04,2023-06-30,4269,89,0.7491834278837889,0.19017094017094016,0.07613344739093242,0.10873549175320708
225,FEDFUNDS,聯邦基金利率,D,signal_points_3,long,2000-01-04,2023-06-30,4536,18,0.7828777720474471,0.1935483870967742,0.014925373134328358,0.02771362586605081
227,FEDFUNDS,聯邦基金利率,D,signal_points_3,short,2000-01-04,2023-06-30,4564,9,0.7861440605122916,0.0967741935483871,0.007698887938408896,0.014263074484944533
229,FEDFUNDS,聯邦基金利率,M,signal_points_3,long,2000-01-04,2023-06-30,2876,403,0.5636926250644663,0.18849391955098221,0.3341625207296849,0.2410287081339713
231,FEDFUNDS,聯邦基金利率,M,signal_points_3,short,2000-01-04,2023-06-30,2727,217,0.506102802131683,0.10149672591206735,0.18562874251497005,0.1312367704868461
233,FEDFUNDS,聯邦基金利率,Q,signal_points_3,long,2000-01-04,2023-06-30,2963,592,0.6111397627643115,0.2642857142857143,0.49087893864013266,0.3435867672663958
235,FEDFUNDS,聯邦基金利率,Q,signal_points_3,short,2000-01-04,2023-06-30,2742,334,0.5287949114663916,0.14910714285714285,0.2857142857142857,0.19595189205045468
237,FEDFUNDS,聯邦基金利率,W,signal_points_3,long,2000-01-04,2023-06-30,4191,86,0.7352587244283996,0.16996047430830039,0.07131011608623548,0.10046728971962617
239,FEDFUNDS,聯邦基金利率,W,signal_points_3,short,2000-01-04,2023-06-30,4199,57,0.7316486161251504,0.11264822134387352,0.04875962360992301,0.06805970149253732
23,GDPC1,國內生產總值,M,signal_points_1,short,2000-01-04,2023-06-30,3662,204,0.6646037476362386,0.17142857142857143,0.174508126603935,0.17295464179737177
241,GDPC1,國內生產總值,D,signal_points_3,long,2000-01-04,2023-06-30,4564,6,0.7856283307546845,0.11320754716981132,0.004975124378109453,0.009531374106433678
243,GDPC1,國內生產總值,D,signal_points_3,short,2000-01-04,2023-06-30,4605,10,0.7933642771187898,0.18867924528301888,0.00855431993156544,0.016366612111292964
245,GDPC1,國內生產總值,M,signal_points_3,long,2000-01-04,2023-06-30,3605,184,0.6513666838576586,0.1546218487394958,0.15257048092868988,0.15358931552587646
247,GDPC1,國內生產總值,M,signal_points_3,short,2000-01-04,2023-06-30,3662,204,0.6646037476362386,0.17142857142857143,0.174508126603935,0.17295464179737177
249,GDPC1,國內生產總值,Q,signal_points_3,long,2000-01-04,2023-06-30,1530,518,0.3520715145263882,0.14392886913031397,0.4295190713101161,0.21560874089490115
251,GDPC1,國內生產總值,Q,signal_points_3,short,2000-01-04,2023-06-30,1762,713,0.4254770500257865,0.198110586273965,0.6099230111206159,0.2990771812080537
253,GDPC1,國內生產總值,W,signal_points_3,long,2000-01-04,2023-06-30,4396,46,0.7636238610967853,0.17624521072796934,0.03814262023217247,0.0627130197682345
255,GDPC1,國內生產總值,W,signal_points_3,short,2000-01-04,2023-06-30,4429,42,0.7686092487536531,0.16091954022988506,0.03592814371257485,0.05874125874125874
257,GS10,10年期國債收益率,D,signal_points_3,long,2000-01-04,2023-06-30,4532,11,0.7809867629362214,0.12222222222222222,0.00912106135986733,0.016975308641975308
259,GS10,10年期國債收益率,D,signal_points_3,short,2000-01-04,2023-06-30,4575,17,0.789410348977136,0.18888888888888888,0.01454234388366125,0.027005559968228753
25,GDPC1,國內生產總值,Q,signal_points_1,long,2000-01-04,2023-06-30,1530,518,0.3520715145263882,0.14392886913031397,0.4295190713101161,0.21560874089490115
261,GS10,10年期國債收益率,M,signal_points_3,long,2000-01-04,2023-06-30,2804,280,0.5301701908200103,0.13416387158600862,0.23217247097844113,0.17005769814758578
263,GS10,10年期國債收益率,M,signal_points_3,short,2000-01-04,2023-06-30,3022,461,0.5987622485817432,0.2208912314326785,0.3943541488451668,0.2831695331695332
265,GS10,10年期國債收益率,Q,signal_points_3,long,2000-01-04,2023-06-30,3001,337,0.5738353102974042,0.17308680020544429,0.27943615257048093,0.21376466856961623
267,GS10,10年期國債收益率,Q,signal_points_3,short,2000-01-04,2023-06-30,3185,484,0.630737493553378,0.24858757062146894,0.41402908468776733,0.31065468549422337
269,GS10,10年期國債收益率,W,signal_points_3,long,2000-01-04,2023-06-30,4185,57,0.7292418772563177,0.11801242236024845,0.0472636815920398,0.0674955595026643
271,GS10,10年期國債收益率,W,signal_points_3,short,2000-01-04,2023-06-30,4278,113,0.754856455217466,0.23395445134575568,0.09666381522668947,0.1368038740920097
273,M2SL,M2 貨幣供應量,D,signal_points_3,long,2000-01-04,2023-06-30,4460,34,0.7725631768953068,0.1837837837837838,0.028192371475953566,0.04888569374550683
275,M2SL,M2 貨幣供應量,D,signal_points_3,short,2000-01-04,2023-06-30,4499,36,0.7796114835826027,0.1945945945945946,0.030795551753635585,0.053175775480059084
277,M2SL,M2 貨幣供應量,M,signal_points_3,long,2000-01-04,2023-06-30,1347,696,0.3512119649303765,0.17575757575757575,0.5771144278606966,0.2694541231126597
279,M2SL,M2 貨幣供應量,M,signal_points_3,short,2000-01-04,2023-06-30,1434,746,0.3747636238610968,0.18838383838383838,0.6381522668947819,0.2908949112887502
27,GDPC1,國內生產總值,Q,signal_points_1,short,2000-01-04,2023-06-30,1762,713,0.4254770500257865,0.198110586273965,0.6099230111206159,0.2990771812080537
281,M2SL,M2 貨幣供應量,Q,signal_points_3,long,2000-01-04,2023-06-30,1154,670,0.31356369262506445,0.1623455294402714,0.5555555555555556,0.25126570410650667
283,M2SL,M2 貨幣供應量,Q,signal_points_3,short,2000-01-04,2023-06-30,1325,804,0.36599621798177756,0.19481463532832566,0.6877673224978614,0.30362537764350456
285,M2SL,M2 貨幣供應量,W,signal_points_3,long,2000-01-04,2023-06-30,3855,170,0.6919374247894103,0.183585313174946,0.14096185737976782,0.15947467166979362
287,M2SL,M2 貨幣供應量,W,signal_points_3,short,2000-01-04,2023-06-30,3892,170,0.6982980917998969,0.183585313174946,0.1454234388366125,0.162291169451074
289,PAYEMS,非農就業人數,D,signal_points_3,long,2000-01-04,2023-06-30,4473,28,0.7737665463297232,0.1686746987951807,0.02321724709784411,0.04081632653061224
291,PAYEMS,非農就業人數,D,signal_points_3,short,2000-01-04,2023-06-30,4514,32,0.7815024926938284,0.1927710843373494,0.02737382378100941,0.04794007490636704
293,PAYEMS,非農就業人數,M,signal_points_3,long,2000-01-04,2023-06-30,1509,589,0.36066701048650507,0.1595773503115687,0.48839137645107794,0.2405554421074127
295,PAYEMS,非農就業人數,M,signal_points_3,short,2000-01-04,2023-06-30,1675,718,0.4113804366511948,0.19452722839338932,0.6142001710863987,0.29547325102880656
297,PAYEMS,非農就業人數,Q,signal_points_3,long,2000-01-04,2023-06-30,1601,670,0.3904074265085095,0.18206521739130435,0.5555555555555556,0.2742529676627098
299,PAYEMS,非農就業人數,Q,signal_points_3,short,2000-01-04,2023-06-30,1695,727,0.41636582430806257,0.19755434782608697,0.6218990590248076,0.29985564033821405
29,GDPC1,國內生產總值,W,signal_points_1,long,2000-01-04,2023-06-30,4396,46,0.7636238610967853,0.17624521072796934,0.03814262023217247,0.0627130197682345
